# Region type : patch inlet
#   Faces  : 20
#   Area   : 1.000000e-03
#        Time	sum(phi)
        4.625	-7.570156e-04
         4.63	-7.570156e-04
        4.635	-7.570156e-04
         4.64	-7.570156e-04
        4.645	-7.570156e-04
         4.65	-7.570156e-04
        4.655	-7.570156e-04
         4.66	-7.570156e-04
        4.665	-7.570156e-04
         4.67	-7.570156e-04
        4.675	-7.570156e-04
         4.68	-7.570156e-04
        4.685	-7.570156e-04
         4.69	-7.570156e-04
        4.695	-7.570156e-04
          4.7	-7.570156e-04
        4.705	-7.570156e-04
         4.71	-7.570156e-04
        4.715	-7.570156e-04
         4.72	-7.570156e-04
        4.725	-7.570156e-04
         4.73	-7.570156e-04
        4.735	-7.570156e-04
         4.74	-7.570156e-04
        4.745	-7.570156e-04
         4.75	-7.570156e-04
        4.755	-7.570156e-04
         4.76	-7.570156e-04
        4.765	-7.570156e-04
         4.77	-7.570156e-04
        4.775	-7.570156e-04
         4.78	-7.570156e-04
        4.785	-7.570156e-04
         4.79	-7.570156e-04
        4.795	-7.570156e-04
          4.8	-7.570156e-04
        4.805	-7.570156e-04
         4.81	-7.570156e-04
        4.815	-7.570156e-04
         4.82	-7.570156e-04
        4.825	-7.570156e-04
         4.83	-7.570156e-04
        4.835	-7.570156e-04
         4.84	-7.570156e-04
        4.845	-7.570156e-04
         4.85	-7.570156e-04
        4.855	-7.570156e-04
         4.86	-7.570156e-04
        4.865	-7.570156e-04
         4.87	-7.570156e-04
        4.875	-7.570156e-04
         4.88	-7.570156e-04
